-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |  Rel. |    Aki     | Acc. |      Ei           Ek      |      Lower level       |       Upper level       |  gi   gk  |Type|             TP  |   Line  |
   Wavelength   |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |------------------------|-------------------------|           |    |            Ref. |   Ref.  |
    Air (nm)    |       |            |      |                           | Conf.     | Term | J   | Conf.     | Term  | J   |           |    |                 |         |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf    |L Term| L J | U Conf    |U Term | U J |   gi - gk |Type|           TP    |   Line  |
       300.086  |     9 | 1.58e+08   | C    |  15210.063  -   48524.093 | 3p6.4s.4p | 3P*  | 1   | 3p6.3d2   | 3P    | 0   |   3 - 1   |    |        T539n,LS |  L6097  |
       300.686  |    10 | 7.5e+07    | C    |  15315.943  -   48563.522 | 3p6.4s.4p | 3P*  | 2   | 3p6.3d2   | 3P    | 2   |   5 - 5   |    |        T539n,LS |  L6097  |
       300.921  |     9 | 4.30e+07   | C    |  15315.943  -   48537.623 | 3p6.4s.4p | 3P*  | 2   | 3p6.3d2   | 3P    | 1   |   5 - 3   |    |        T539n,LS |  L6097  |
       302.494  |     2 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       303.454  |     2 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       304.574  |     2 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       305.532  |     3 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       307.157  |     2 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       307.695  |     2 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       308.079  |     2 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       309.930  |     2 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       313.602  |     5 | 4.1e+06    | D    |  15157.901  -   47036.225 | 3p6.4s.4p | 3P*  | 0   | 3p6.4s.8d | 3D    | 1   |   1 - 3   |    |           T539n |  L6097  |
       314.079  |     6 | 4.9e+06    | D    |  15210.063  -   47040.007 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.8d | 3D    | 2   |   3 - 5   |    |           T539n |  L6097  |
       315.075  |     7 | 8.6e+06    | D    |  15315.943  -   47045.241 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.8d | 3D    | 3   |   5 - 7   |    |           T539n |  L6097  |
       318.052  |     5 | 2.9e+06    | D    |  15315.943  -   46748.283 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.9s | 3S    | 1   |   5 - 3   |    |           T539n |  L6097  |
       320.996  |     7 | 7.3e+06    | D    |  15157.901  -   46301.973 | 3p6.4s.4p | 3P*  | 0   | 3p6.4s.7d | 3D    | 1   |   1 - 3   |    |           T539n |  L6097  |
       321.517  |     8 | 1.1e+07    | D    |  15210.063  -   46303.649 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.7d | 3D    | 2   |   3 - 5   |    |           T539n |  L6097  |
       321.534  |     6 | 5.1e+06    | D    |  15210.063  -   46301.973 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.7d | 3D    | 1   |   3 - 3   |    |           T539n |  L6097  |
       322.590  |     9 | 1.6e+07    | D    |  15315.943  -   46306.059 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.7d | 3D    | 3   |   5 - 7   |    |           T539n |  L6097  |
       322.615  |     6 | 4.0e+06    | D    |  15315.943  -   46303.649 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.7d | 3D    | 2   |   5 - 5   |    |           T539n |  L6097  |
       327.467  |     5 | 3.0e+06    | D    |  15210.063  -   45738.684 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.8s | 3S    | 1   |   3 - 3   |    |           T539n |  L6097  |
       328.607  |     6 | 5.3e+06    | D    |  15315.943  -   45738.684 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.8s | 3S    | 1   |   5 - 3   |    |           T539n |  L6097  |
       334.451  |    10 | 1.51e+07   | C    |  15157.901  -   45049.073 | 3p6.4s.4p | 3P*  | 0   | 3p6.4s.6d | 3D    | 1   |   1 - 3   |    |     T539n,T654n |  L6097  |
       335.021  |    11 | 1.78e+07   | C    |  15210.063  -   45050.419 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.6d | 3D    | 2   |   3 - 5   |    |     T539n,T654n |  L6097  |
       335.036  |     9 | 1.11e+07   | C    |  15210.063  -   45049.073 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.6d | 3D    | 1   |   3 - 3   |    |     T539n,T654n |  L6097  |
       336.192  |    12 | 2.23e+07   | C    |  15315.943  -   45052.374 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.6d | 3D    | 3   |   5 - 7   |    |     T539n,T654n |  L6097  |
       336.214  |     9 | 6.5e+06    | C    |  15315.943  -   45050.419 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.6d | 3D    | 2   |   5 - 5   |    |     T539n,T654n |  L6097  |
       346.848  |     9 | 1.3e+06    | D    |  15157.901  -   43980.767 | 3p6.4s.4p | 3P*  | 0   | 3p6.4s.7s | 3S    | 1   |   1 - 3   |    |           T539n |  L6097  |
       347.476  |    11 | 4.6e+06    | D    |  15210.063  -   43980.767 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.7s | 3S    | 1   |   3 - 3   |    |           T539n |  L6097  |
       348.760  |    13 | 7.8e+06    | D    |  15315.943  -   43980.767 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.7s | 3S    | 1   |   5 - 3   |    |           T539n |  L6097  |
