-----------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |  Rel. |    Aki     | Acc. |     Ei           Ek     |     Lower level     |     Upper level     |  gi   gk  |Type|        TP  |   Line  |
   Wavelength   |  Int. |   (s^-1)   |      |   (cm-1)       (cm-1)   |---------------------|---------------------|           |    |       Ref. |   Ref.  |
    Air (nm)    |       |            |      |                         | Conf.  | Term | J   | Conf.  | Term | J   |           |    |            |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek    | L Conf |L Term| L J | U Conf |U Term| U J |   gi - gk |Type|      TP    |   Line  |
       312.518  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L6097  |
       315.887  |   170 | 3.1e+08    | C    |  25191.51  -   56839.25 | 3p6.4p | 2P*  | 1/2 | 3p6.4d | 2D   | 3/2 |   2 - 4   |    |      T8043 |  L7323  |
       317.933  |   180 | 3.6e+08    | C    |  25414.40  -   56858.46 | 3p6.4p | 2P*  | 3/2 | 3p6.4d | 2D   | 5/2 |   4 - 6   |    |      u7,LS |  L7323  |
       318.128  |   150 | 5.8e+07    | C    |  25414.40  -   56839.25 | 3p6.4p | 2P*  | 3/2 | 3p6.4d | 2D   | 3/2 |   4 - 4   |    |      T8043 |  L7323  |
       330.802  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L6097  |
       331.651  |    20 |            |      |                         |        |      |     |        |      |     |           |    |            |  L6097  |
       334.704  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       345.266  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       346.187  |    20 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       348.561  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L6097  |
       349.516  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       368.370  |    30 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       369.411  |    40 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       369.436  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       370.603  |   170 | 8.8e+07    | C    |  25191.51  -   52166.93 | 3p6.4p | 2P*  | 1/2 | 3p6.5s | 2S   | 1/2 |   2 - 2   |    |      T8043 |  L7323  |
       373.690  |   180 | 1.7e+08    | C    |  25414.40  -   52166.93 | 3p6.4p | 2P*  | 3/2 | 3p6.5s | 2S   | 1/2 |   4 - 2   |    |      T8043 |  L7323  |
       373.938  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       375.567  |    20 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       375.839  |    30 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       393.366  |   230 | 1.47e+08   | C    |      0.00  -   25414.40 | 3p6.4s | 2S   | 1/2 | 3p6.4p | 2P*  | 3/2 |   2 - 4   |    |      T8043 |  L7323  |
       396.847  |   220 | 1.4e+08    | C    |      0.00  -   25191.51 | 3p6.4s | 2S   | 1/2 | 3p6.4p | 2P*  | 1/2 |   2 - 2   |    |      T8043 |  L7323  |
       409.710  |    50 | 9.9e+06    | D    |  60533.02  -   84933.65 | 3p6.5p | 2P*  | 1/2 | 3p6.7d | 2D   | 3/2 |   2 - 4   |    | T1619CA,LS |  L7323  |
       410.982  |    60 | 1.2e+07    | D    |  60611.28  -   84936.41 | 3p6.5p | 2P*  | 3/2 | 3p6.7d | 2D   | 5/2 |   4 - 6   |    | T1619CA,LS |  L7323  |
       411.028  |    30 | 1.9e+06    | D    |  60611.28  -   84933.65 | 3p6.5p | 2P*  | 3/2 | 3p6.7d | 2D   | 3/2 |   4 - 4   |    | T1619CA,LS |  L7323  |
       420.618  |    40 | 4.3e+06    | D    |  60533.02  -   84300.89 | 3p6.5p | 2P*  | 1/2 | 3p6.8s | 2S   | 1/2 |   2 - 2   |    | T1619CA,LS |  L7323  |
       422.007  |    50 | 8.5e+06    | D    |  60611.28  -   84300.89 | 3p6.5p | 2P*  | 3/2 | 3p6.8s | 2S   | 1/2 |   4 - 2   |    | T1619CA,LS |  L7323  |
       447.204  |    20 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       447.923  |    10 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       448.918  |    20 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       471.674  |    30 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       472.103  |    40 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       479.997  |    40 |            |      |                         |        |      |     |        |      |     |           |    |            |  L7323  |
       500.148  |    70 | 2.0e+07    | D    |  60533.02  -   80521.53 | 3p6.5p | 2P*  | 1/2 | 3p6.6d | 2D   | 3/2 |   2 - 4   |    | T1619CA,LS |  L7323  |
       501.997  |    80 | 2.3e+07    | D    |  60611.28  -   80526.16 | 3p6.5p | 2P*  | 3/2 | 3p6.6d | 2D   | 5/2 |   4 - 6   |    | T1619CA,LS |  L7323  |
       502.114  |    40 | 3.9e+06    | D    |  60611.28  -   80521.53 | 3p6.5p | 2P*  | 3/2 | 3p6.6d | 2D   | 3/2 |   4 - 4   |    | T1619CA,LS |  L7323  |
       528.527  |    60 | 7.8e+06    | D    |  60533.02  -   79448.28 | 3p6.5p | 2P*  | 1/2 | 3p6.7s | 2S   | 1/2 |   2 - 2   |    | T1619CA,LS |  L7323  |
       530.722  |    70 | 1.5e+07    | D    |  60611.28  -   79448.28 | 3p6.5p | 2P*  | 3/2 | 3p6.7s | 2S   | 1/2 |   4 - 2   |    | T1619CA,LS |  L7323  |
