-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |      Rel. |    Aki     | Acc. |      Ei           Ek      |             Lower level             |              Upper level               |  gi   gk  |Type|               TP  |       Line  |
     Wavelength     |      Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |-------------------------------------|----------------------------------------|           |    |              Ref. |       Ref.  |
      Air (nm)      |           |            |      |                           | Conf.                 | Term  | J   | Conf.                 | Term     | J   |           |    |                   |             |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel      |    Aki     | Acc  |              Ei - Ek      | L Conf                |L Term | L J | U Conf                |U Term    | U J |   gi - gk |Type|             TP    |    Line     |
         300.04509  |     24000 | 5.41e+06   | B+   |  11976.239  -   45294.846 | 3d7.(4F).4s           | a 3F  | 4   | 3d6.(3H).4s.4p.(3P*)  | y 3G*    | 5   |   9 - 11  |    |             T5720 |     L11631  |
         300.0577   |        1d |            |      |  25899.989  -   59217.204 | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 4   | 3d6.4s.(6D<9/2>).6d   | 2[5/2]   | 3   |   9 - 7   |    |                   |  L11631c80  |
         300.09476  |     81000 | 6.42e+07   | A    |    704.007  -   34017.103 | 3d6.4s2               | a 5D  | 2   | 3d7.(4F).4p           | y 5D*    | 1   |   5 - 3   |    |             T3547 |     L11631  |
         300.1658   |        13 |            |      |  24335.766  -   57641.001 | 3d7.(2P).4s           | c 3P  | 2   | 3d6.(3D).4s.4p.(3P*)  | t 3F*    | 3   |   5 - 7   |    |                   |  L11631c80  |
         300.1787   |      (0)? |            |      |  21038.987  -   54342.779 | 3d6.4s2               | b 3F2 | 2   | 3d7.(4F).5p           | 3D*      | 2   |   5 - 5   |    |                   |  L11631c81  |
         300.1827   |       0d? |            |      |  25091.599  -   58394.864 | 3d7.(2P).4s           | c 3P  | 0   | 3d6.4s.(4D).5p        | 3D*      | 1   |   1 - 3   |    |                   |  L11631c80  |
         300.1924   |       0d? |            |      |  24338.767  -   57641.001 | 3d6.4s2               | b 3G  | 3   | 3d6.(3D).4s.4p.(3P*)  | t 3F*    | 3   |   7 - 7   |    |                   |  L11631c80  |
         300.30305  |      9800 | 7.50e+06   | C    |   7728.060  -   41018.051 | 3d7.(4F).4s           | a 5F  | 3   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 2   |   7 - 5   |    |             T5720 |     L11631  |
         300.3251   |         1 |            |      |  26479.381  -   59766.92  | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 1   | 3d6.4s.(6D<5/2>).6d   | 2[3/2]   | 1   |   3 - 3   |    |                   |  L11631c80  |
         300.3338   |       0d? |            |      |  23783.619  -   57070.171 | 3d6.4s2               | b 3G  | 5   | 3d6.(1I).4s.4p.(3P*)  | x 3I*    | 6   |  11 - 13  |    |                   |  L11631c80  |
         300.3686   |       (1) |            |      |  25899.989  -   59182.72  | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 4   | 3d6.4s.(6D<9/2>).6d   | 2[11/2]  | 5   |   9 - 11  |    |                   |  L11631c81  |
         300.41134  |       790 | 2.79e+06   | B    |  19621.006  -   52898.998 | 3d6.4s2               | a 3H  | 5   | 3d7.(2H).4p           | y 3I*    | 5   |  11 - 11  |    |             T5720 |     L11631  |
         300.46267  |       257 |            |      |  12560.934  -   45833.223 | 3d7.(4F).4s           | a 3F  | 3   | 3d6.(3F2).4s.4p.(3P*) | x 5G*    | 4   |   7 - 9   |    |                   |     L11631  |
         300.5006   |         0 |            |      |  22845.869  -   56113.887 | 3d6.(5D).4s.4p.(3P*)  | z 7F* | 5   | 3d7.(4F).6s           | 5F       | 5   |  11 - 11  |    |                   |  L11631c80  |
         300.53025  |      1290 | 2.94e+06   | C    |  19390.168  -   52654.992 | 3d6.4s2               | a 3H  | 6   | 3d7.(2H).4p           | y 3I*    | 7   |  13 - 15  |    |             T5720 |     L11631  |
         300.5726   |       (0) |            |      |  20874.482  -   54134.655 | 3d6.4s2               | b 3F2 | 3   | 3d7.(4F).5p           | 5G*      | 3   |   7 - 7   |    |                   |  L11631c81  |
         300.5966   |         1 |            |      |  24180.862  -   57438.267 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 7S       | 3   |   7 - 7   |    |                   |  L11631c80  |
         300.6539   |         2 |            |      |  26339.696  -   59590.85  | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 2   | 3d6.4s.(6D<7/2>).6d   | 2[3/2]   | 1   |   5 - 3   |    |                   |  L11631c80  |
         300.6596   |         1 |            |      |  26140.179  -   59390.684 | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 3   |                       | 59390e   | 3   |   7 - 7   |    |                   |  L11631c80  |
         300.6608   |       (1) |            |      |  20641.110  -   53891.526 | 3d6.4s2               | b 3F2 | 4   | 3d6.(3D).4s.4p.(3P*)  | 5D*      | 3   |   9 - 7   |    |                   |  L11631c81  |
         300.71450  |     11000 | 7.34e+06   | B+   |  11976.239  -   45220.681 | 3d7.(4F).4s           | a 3F  | 4   | 3d6.(3P2).4s.4p.(3P*) | x 3D*    | 3   |   9 - 7   |    |             T5720 |     L11631  |
         300.72822  |     58000 | 2.73e+06   | A    |    704.007  -   33946.933 | 3d6.4s2               | a 5D  | 2   | 3d6.(5D).4s.4p.(3P*)  | z 3P*    | 2   |   5 - 5   |    |             T3547 |     L11631  |
         300.7471   |        0d |            |      |  18378.186  -   51619.076 | 3d6.4s2               | a 3P2 | 2   | 3d6.(5D).4s (6D).5p   | u 5F*    | 3   |   5 - 7   |    |                   |  L11631c80  |
