-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |             Rel. |    Aki     | Acc. |        Ei           Ek        |             Lower level              |              Upper level              |  gi   gk  |Type|            TP  |           Line  |
     Wavelength     |             Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |--------------------------------------|---------------------------------------|           |    |           Ref. |           Ref.  |
      Air (nm)      |                  |            |      |                               | Conf.                 | Term  | J    | Conf.                 | Term   | J    |           |    |                |                 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel             |    Aki     | Acc  |              Ei - Ek          | L Conf                |L Term | L J  | U Conf                |U Term  | U J  |   gi - gk |Type|    	  TP    |        Line     |
		 300.00623  |             1800 | 3.0e+06    | D+   |   30764.4737  -    64087.408  | 3d6.(3G).4s           | b 2G  | 7/2  | 3d6.(3F2).4p          | y 4G*  | 5/2  |   8 - 6   |    |       T6892c83 |     L18349c139  |
         300.0075   |              400 |            |      |   79284.919   -   112607.597  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 5/2  | 3d6.(5D).7s           | 6D     | 7/2  |   6 - 8   |    |                |     L18349c142  |
         300.0247   |              270 | 4.9e+06    | D+   |   73603.537   -   106924.441  | 3d6.(1I).4p           | w 2H* | 11/2 | 3d6.(3F2).4d          | 2G     | 9/2  |  12 - 10  |    |       T6892c83 |     L18349c139  |
         300.0295   |   250bl(Fe II)?* |            |      |   76129.465   -   109449.894  | 3d6.(1S2).4p          | x 2P* | 3/2  | 3d5.4s.(7S).4d        | 8D     | 3/2  |   4 - 4   |    |                |     L18349c143  |
         300.0295   |   250bl(Fe II)?* | 8.e+05     | D    |   57578.490   -    90898.878  | 3d5.4s2               | d 4P  | 1/2  | 3d6.(5D).5p           | 4D*    | 3/2  |   2 - 4   |    |       T6892c83 |     L18349c143  |
         300.0755   |          140d,bl |            |      |   73393.771   -   106709.008  | 3d5.4s2               | 4F    | 9/2  | 3d6.(5D).6p           | 4F*    | 9/2  |  10 - 10  |    |                |     L18349c143  |
         300.1123   |            150d? | 4.9e+06    | D+   |   66377.315   -    99688.355  | 3d6.(3G).4p           | x 4F* | 7/2  | 3d6.(3F2).5s          | f 4F   | 7/2  |   8 - 8   |    |       T6892c83 |     L18349c143  |
         300.1310   |             150d | 1.0e+07    | D+   |   66612.659   -    99921.670  | 3d6.(3G).4p           | x 4F* | 3/2  | 3d6.(3P2).5s          | 2P     | 1/2  |   4 - 2   |    |       T6892c83 |     L18349c143  |
         300.14003  |             1000 | 1.3e+07    | D+   |   64806.494   -    98114.577  | 3d6.(3P2).4p          | z 2P* | 1/2  | 3d6.(3P2).5s          | 4P     | 3/2  |   2 - 4   |    |       T6892c83 |     L18349c139  |
         300.1601   |              160 | 3.9e+06    | D+   |   66612.659   -    99918.563  | 3d6.(3G).4p           | x 4F* | 3/2  | 3d6.(3F2).5s          | f 4F   | 3/2  |   4 - 4   |    |       T6892c83 |     L18349c142  |
         300.1972   |            150d? | 4.1e+06    | D+   |   66522.310   -    99824.051  | 3d6.(3G).4p           | x 4F* | 5/2  | 3d6.(3F2).5s          | f 4F   | 5/2  |   6 - 6   |    |       T6892c83 |     L18349c143  |
         300.2317   |             1100 | 2.0e+06    | D+   |   31811.814   -    65109.691  | 3d7                   | b 2F  | 5/2  | 3d6.(3F2).4p          | y 2G*  | 7/2  |   6 - 8   |    |       T6892c83 |     L18349c143  |
         300.264344 |  40000bl(Fe II)* | 9.2e+07    | B+   |   70314.624   -   103608.921  | 3d6.(3G).4p           | x 2G* | 9/2  | 3d6.(3G).5s           | e 2G   | 9/2  |  10 - 10  |    |       T6892c83 |     L18349c148  |
         300.264344 |  40000bl(Fe II)* | 1.79e+07   | C+   |   13673.2045  -    46967.4751 | 3d7                   | a 4P  | 3/2  | 3d6.(5D).4p           | z 4P*  | 5/2  |   4 - 6   |    |          T7589 |     L18349c148  |
         300.38861  |             2000 | 3.1e+07    | D+   |   64834.069   -    98114.577  | 3d6.(3P2).4p          | z 2P* | 3/2  | 3d6.(3P2).5s          | 4P     | 3/2  |   4 - 4   |    |       T6892c83 |     L18349c139  |
         300.4257   |            700d? | 8.6e+05    | C+   |   30764.4737  -    64040.891  | 3d6.(3G).4s           | b 2G  | 7/2  | 3d6.(3F2).4p          | y 4G*  | 7/2  |   8 - 8   |    |          T7461 |     L18349c143  |
         300.5637   |            250d? |            |      |   57578.490   -    90839.488  | 3d5.4s2               | d 4P  | 1/2  | 3d6.(3P1).4p          | 4P*    | 1/2  |   2 - 2   |    |                |     L18349c143  |
         300.5873   |              80d |            |      |   78185.004   -   111443.614  | 3d5.4s2               | 2G2   | 7/2  | 3d6.(3F2).5p          | 2G*    | 9/2  |   8 - 10  |    |                |     L18349c143  |
         300.6883   |          110d,bl |            |      |   72212.989   -   105460.233  | 3d6.(3D).4p           | w 4P* | 1/2  | 3d6.(3F2).4d          | 4D     | 3/2  |   2 - 4   |    |                |     L18349c143  |
         300.7411   |             130d |            |      |   69302.086   -   102543.689  | 3d5.(6S).4s.4p.(3P*)  | x 4P* | 3/2  | 3d6.(5D).6s           | 6D     | 3/2  |   4 - 4   |    |                |     L18349c143  |
         300.7582   |             150d |            |      |   54232.201   -    87471.789  | 3d5.4s2               | b 4G  | 11/2 | 3d5.(4G).4s.4p.(3P*)  | y 6F*  | 9/2  |  12 - 10  |    |                |     L18349c142  |
         300.8306   |              130 |            |      |   69102.427   -   102334.140  | 3d5.(6S).4s.4p.(3P*)  | x 4P* | 5/2  | 3d6.(5D).6s           | 6D     | 5/2  |   6 - 6   |    |                |     L18349c143  |
