-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |           Rel. |    Aki     | Acc. |      Ei           Ek      |        Lower level         |        Upper level         |  gi   gk  |   Type|    TP  |         Line  |
   Wavelength   |           Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------------|----------------------------|           |       |   Ref. |         Ref.  |
    Air (nm)    |                |            |      |                           | Conf.         | Term | J   | Conf.         | Term | J   |           |       |        |               |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel           |    Aki     | Acc  |              Ei - Ek      | L Conf        |L Term| L J | U Conf        |U Term| U J |   gi - gk |Type   |  TP    |   Line        |
       300.084  |           160* |            |      |  118443.27  -   151757.82 | 3d5.(4G).4p   | 3F*  | 3   | 3d5.(6S).5s   | 5S   | 2   |   7 - 5   |       |        |        L1171  |
       300.084  |           160* |            |      |   83161.80  -   116475.56 | 3d5.(4F).4s   | 5F   | 4   | 3d5.(4G).4p   | 5F*  | 3   |   9 - 7   |       |        |        L1171  |
       300.1617 |           3400 | 5.e+06     | D    |   83161.80  -   116467.59 | 3d5.(4F).4s   | 5F   | 4   | 3d5.(4G).4p   | 5F*  | 4   |   9 - 9   |       |  T6105 |        L1171  |
       300.299  |    220bl(Fe I) | 1.5e+06    | D    |   83647.26  -   116937.86 | 3d5.(4F).4s   | 5F   | 1   | 3d5.(4G).4p   | 5F*  | 1   |   3 - 3   |       |  T6105 |        L1171  |
       300.413  |   160bl(Fe I)* |            |      |   90472.61  -   123750.63 | 3d5.(4F).4s   | 3F   | 4   | 3d5.(4D).4p   | 5P*  | 3   |   9 - 7   |       |        |        L1171  |
       300.413  |   160bl(Fe I)* |            |      |   88664.08  -   121941.47 | 3d5.(2H).4s   | 3H   | 4   | 3d5.(4G).4p   | 3G*  | 4   |   9 - 9   |       |        |        L1171  |
       300.6142 |            240 | 8.e+05     | D    |   88664.08  -   121919.84 | 3d5.(2H).4s   | 3H   | 4   | 3d5.(4G).4p   | 3G*  | 3   |   9 - 7   |       |  T6105 |        L1171  |
       300.699  |           97hp | 8.e+05     | D    |   88694.86  -   121941.47 | 3d5.(2H).4s   | 3H   | 5   | 3d5.(4G).4p   | 3G*  | 4   |  11 - 9   |       |  T6105 |        L1171  |
       300.706  |         2000hp | 4.06e+08   | B    |  151534.30  -   184779.6  | 3d5.(6S).4d   | 5D   | 3   | 3d5.(6S).4f   | 5F*  | 4   |   7 - 9   |       |    u44 |        L1171  |
       300.714  |          390hp | 1.46e+08   | C+   |  151534.30  -   184778.69 | 3d5.(6S).4d   | 5D   | 3   | 3d5.(6S).4f   | 5F*  | 3   |   7 - 7   |       |    u44 |        L1171  |
       300.722  |          920hp | 3.54e+08   | B    |  151535.03  -   184778.69 | 3d5.(6S).4d   | 5D   | 2   | 3d5.(6S).4f   | 5F*  | 3   |   5 - 7   |       |    u44 |        L1171  |
       300.728  |        9200hp* | 4.24e+08   | B    |  151537.99  -   184781.00 | 3d5.(6S).4d   | 5D   | 4   | 3d5.(6S).4f   | 5F*  | 5   |   9 - 11  |       |    u44 |        L1171  |
       300.728  |        9200hp* | 2.06e+08   | C+   |  151535.03  -   184777.9  | 3d5.(6S).4d   | 5D   | 2   | 3d5.(6S).4f   | 5F*  | 2   |   5 - 5   |       |    u44 |        L1171  |
       300.746  |         1400h* | 7.1e+07    | C+   |  151537.99  -   184779.6  | 3d5.(6S).4d   | 5D   | 4   | 3d5.(6S).4f   | 5F*  | 4   |   9 - 9   |       |    u44 |        L1171  |
       300.746  |         1400h* | 2.96e+08   | B    |  151536.85  -   184777.9  | 3d5.(6S).4d   | 5D   | 1   | 3d5.(6S).4f   | 5F*  | 2   |   3 - 5   |       |    u44 |        L1171  |
       300.746  |         1400h* | 2.5e+08    | C+   |  151536.85  -   184777.41 | 3d5.(6S).4d   | 5D   | 1   | 3d5.(6S).4f   | 5F*  | 1   |   3 - 3   |       |    u44 |        L1171  |
       300.7600 |           920h | 2.5e+08    | C+   |  151538.07  -   184777.41 | 3d5.(6S).4d   | 5D   | 0   | 3d5.(6S).4f   | 5F*  | 1   |   1 - 3   |       |    u44 |        L1171  |
       300.7793 |          1000l |            |      |   83238.19  -   116475.56 | 3d5.(4F).4s   | 5F   | 3   | 3d5.(4G).4p   | 5F*  | 3   |   7 - 7   |       |        |        L1171  |
       300.8511 |            480 | 8.e+05     | D    |   83238.19  -   116467.59 | 3d5.(4F).4s   | 5F   | 3   | 3d5.(4G).4p   | 5F*  | 4   |   7 - 9   |       |  T6105 |        L1171  |
       301.3167 |           6300 | 6.e+06     | D    |   83138.66  -   116316.85 | 3d5.(4F).4s   | 5F   | 5   | 3d5.(4G).4p   | 5F*  | 5   |  11 - 11  |       |    u45 |        L1171  |
       301.5260 |            470 | 3.8e+05    | D    |   83161.80  -   116316.85 | 3d5.(4F).4s   | 5F   | 4   | 3d5.(4G).4p   | 5F*  | 5   |   9 - 11  |       |  T6105 |        L1171  |
       301.731  |            94l |            |      |   89697.74  -   122829.68 | 3d5.(a 2G).4s | 3G   | 3   | 3d5.(4D).4p   | 5D*  | 3   |   7 - 7   |       |        |        L1171  |
       301.8789 |            460 |            |      |   83359.20  -   116475.56 | 3d5.(4F).4s   | 5F   | 2   | 3d5.(4G).4p   | 5F*  | 3   |   5 - 7   |       |        |        L1171  |
       302.200  |    44bl(Fe II) |            |      |  114325.49  -   147406.01 | 3d5.(b 2G).4s | 3G   | 5   | 3d5.(b 2F).4p | 3G*  | 5   |  11 - 11  |       |        |  L3495,L1171  |
       302.3883 |            650 |            |      |   83359.20  -   116419.72 | 3d5.(4F).4s   | 5F   | 2   | 3d5.(4P).4p   | 5D*  | 2   |   5 - 5   |       |        |        L1171  |
