-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed        |   Rel. |     Aki      | Acc. |             Ei           Ek            |     Lower level     |     Upper level     |  gi   gk  |Type|    TP  |      Line  |
      Wavelength       |   Int. |    (s^-1)    |      |           (cm-1)       (cm-1)          |---------------------|---------------------|           |    |   Ref. |      Ref.  |
       Air (nm)        |        |              |      |                                        | Conf.  | Term | J   | Conf.  | Term | J   |           |    |        |            |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         Wavelength    |  Rel   |    Aki       | Acc  |              Ei - Ek                   | L Conf |L Term| L J | U Conf |U Term| U J |   gi - gk |Type|  TP    |   Line     |
          365.665      |    700 | 9.9657e+01   | AAA  |  82259.158         -  [109598.6566]    | 2      |      |     | 37     |      |     |   8 - 2738|    |  T8637 |  L7400c29  |
          365.725      |    700 | 1.1430e+02   | AAA  |  82259.158         -  [109594.1439]    | 2      |      |     | 36     |      |     |   8 - 2592|    |  T8637 |  L7400c29  |
          365.804      |  700bl | 1.3161e+02   | AAA  |  82259.158         -  [109589.2390]    | 2      |      |     | 35     |      |     |   8 - 2450|    |  T8637 |  L7400c29  |
          365.865      |    700 | 1.5216e+02   | AAA  |  82259.158         -  [109583.8949]    | 2      |      |     | 34     |      |     |   8 - 2312|    |  T8637 |  L7400c29  |
          365.941      |    700 | 1.7669e+02   | AAA  |  82259.158         -  [109578.0577]    | 2      |      |     | 33     |      |     |   8 - 2178|    |  T8637 |  L7400c29  |
          366.032      |  700bl | 2.0612e+02   | AAA  |  82259.158         -  [109571.6647]    | 2      |      |     | 32     |      |     |   8 - 2048|    |  T8637 |  L7400c29  |
          366.127      |    800 | 2.4162e+02   | AAA  |  82259.158         -  [109564.6431]    | 2      |      |     | 31     |      |     |   8 - 1922|    |  T8637 |  L7400c29  |
          366.222      | 1100bl | 2.8474e+02   | AAA  |  82259.158         -  [109556.9077]    | 2      |      |     | 30     |      |     |   8 - 1800|    |  T8637 |  L7400c29  |
          366.341      |  900bl | 3.3742e+02   | AAA  |  82259.158         -  [109548.3584]    | 2      |      |     | 29     |      |     |   8 - 1682|    |  T8637 |  L7400c29  |
          366.465      | 1000bl | 4.0224e+02   | AAA  |  82259.158         -  [109538.8768]    | 2      |      |     | 28     |      |     |   8 - 1568|    |  T8637 |  L7400c29  |
          366.608      |    900 | 4.8261e+02   | AAA  |  82259.158         -  [109528.3223]    | 2      |      |     | 27     |      |     |   8 - 1458|    |  T8637 |  L7400c29  |
          366.773      |   1000 | 5.8304e+02   | AAA  |  82259.158         -  [109516.5267]    | 2      |      |     | 26     |      |     |   8 - 1352|    |  T8637 |  L7400c29  |
          366.945      |   1300 | 7.0963e+02   | AAA  |  82259.158         -  [109503.2875]    | 2      |      |     | 25     |      |     |   8 - 1250|    |  T8637 |  L7400c29  |
          367.132      | 1200bl | 8.7069e+02   | AAA  |  82259.158         -  [109488.3592]    | 2      |      |     | 24     |      |     |   8 - 1152|    |  T8637 |  L7400c29  |
          367.381      |   1300 | 1.0777e+03   | AAA  |  82259.158         -  [109471.4416]    | 2      |      |     | 23     |      |     |   8 - 1058|    |  T8637 |  L7400c29  |
          367.6376     |   1400 | 1.3467e+03   | AAA  |  82259.158         -  [109452.1650]    | 2      |      |     | 22     |      |     |   8 - 968 |    |  T8637 |  L7436c29  |
          367.9370     |   1700 | 1.7005e+03   | AAA  |  82259.158         -  [109430.0696]    | 2      |      |     | 21     |      |     |   8 - 882 |    |  T8637 |  L7436c29  |
          368.2823     |   1700 | 2.1719e+03   | AAA  |  82259.158         -  [109404.5776]    | 2      |      |     | 20     |      |     |   8 - 800 |    |  T8637 |  L7436c29  |
          368.6831     |   2000 | 2.8093e+03   | AAA  |  82259.158         -  [109374.9555]    | 2      |      |     | 19     |      |     |   8 - 722 |    |  T8637 |  L7436c29  |
          369.1551     |   2300 | 3.6851e+03   | AAA  |  82259.158         -  [109340.2604]    | 2      |      |     | 18     |      |     |   8 - 648 |    |  T8637 |  L7436c29  |
          369.7157     |   2300 | 4.9101e+03   | AAA  |  82259.158         -  [109299.2642]    | 2      |      |     | 17     |      |     |   8 - 578 |    |  T8637 |  L7436c29  |
          370.3859     |   2800 | 6.6583e+03   | AAA  |  82259.158         -  [109250.3433]    | 2      |      |     | 16     |      |     |   8 - 512 |    |  T8637 |  L7436c29  |
          371.1978     |   3300 | 9.2102e+03   | AAA  |  82259.158         -  [109191.3154]    | 2      |      |     | 15     |      |     |   8 - 450 |    |  T8637 |  L7436c29  |
          372.1946     |   5000 | 1.3032e+04   | AAA  |  82259.158         -  [109119.1917]    | 2      |      |     | 14     |      |     |   8 - 392 |    |  T8637 |  L7436c29  |
          373.4369     |   6000 | 1.8927e+04   | AAA  |  82259.158         -  [109029.7913]    | 2      |      |     | 13     |      |     |   8 - 338 |    |  T8637 |  L7436c29  |
          375.0129789  |        |              |      |  82258.9543992821  -   108917.12094342 | 2s     | 2S   | 1/2 | 12d    | 2D   | 5/2 |   2 - 6   | E2 |        |    L11759  |
          375.0129869  |        |              |      |  82258.9543992821  -   108917.1203787  | 2s     | 2S   | 1/2 | 12d    | 2D   | 3/2 |   2 - 4   | E2 |        |    L11759  |
          375.0151     |   8000 | 2.8337e+04   | AAA  |  82259.158         -   108917.1209     | 2      |      |     | 12     |      |     |   8 - 288 |    |  T8637 |  L7436c29  |
          377.0633     |   9000 | 4.3972e+04   | AAA  |  82259.158         -   108772.3445     | 2      |      |     | 11     |      |     |   8 - 242 |    |  T8637 |  L7436c29  |
          379.7874999  |        |              |      |  82258.9543992821  -   108581.9944009  | 2s     | 2S   | 1/2 | 10d    | 2D   | 5/2 |   2 - 6   | E2 |        |  L7369u33  |
