-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |      Ei           Ek      |     Lower level      |     Upper level     |  gi   gk  |Type|         TP  |   Line  |
    Wavelength    |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------|---------------------|           |    |        Ref. |   Ref.  |
     Air (nm)     |       |            |      |                           | Conf.   | Term | J   | Conf.  | Term | J   |           |    |             |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf  |L Term| L J | U Conf |U Term| U J |   gi - gk |Type|       TP    |   Line  |
        309.1065  |    20 | 3.09e+07   | B    |  21850.405  -   54192.335 | 3s.3p   | 3P*  | 0   | 3s.4d  | 3D   | 1   |   1 - 3   |    |       T4391 |  L6095  |
        309.2984  |    22 | 3.74e+07   | C    |  21870.464  -   54192.294 | 3s.3p   | 3P*  | 1   | 3s.4d  | 3D   | 2   |   3 - 5   |    | T6298c72,LS |  L6095  |
        309.6890  |    24 | 4.96e+07   | C+   |  21911.178  -   54192.256 | 3s.3p   | 3P*  | 2   | 3s.4d  | 3D   | 3   |   5 - 7   |    | T6298c72,LS |  L6095  |
        319.7625  |     2 |            |      |  21870.464  -   53134.642 | 3s.3p   | 3P*  | 1   | 3s.4d  | 1D   | 2   |   3 - 5   |    |             |  L6095  |
        320.1796  |     3 |            |      |  21911.178  -   53134.642 | 3s.3p   | 3P*  | 2   | 3s.4d  | 1D   | 2   |   5 - 5   |    |             |  L6095  |
        332.9919  |    17 | 3.09e+06   | D+   |  21850.405  -   51872.526 | 3s.3p   | 3P*  | 0   | 3s.5s  | 3S   | 1   |   1 - 3   |    | T6298c72,LS |  L6095  |
        333.2146  |    19 | 1.02e+07   | B    |  21870.464  -   51872.526 | 3s.3p   | 3P*  | 1   | 3s.5s  | 3S   | 1   |   3 - 3   |    |       T4391 |  L6095  |
        333.6674  |    20 | 1.70e+07   | B    |  21911.178  -   51872.526 | 3s.3p   | 3P*  | 2   | 3s.5s  | 3S   | 1   |   5 - 3   |    |       T4391 |  L6095  |
        378.68    |     a |            |      |  35051.264  -   61452     | 3s.3p   | 1P*  | 1   | 3s.23d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        378.97    |     a |            |      |  35051.264  -   61432     | 3s.3p   | 1P*  | 1   | 3s.22d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        379.33    |     a |            |      |  35051.264  -   61407     | 3s.3p   | 1P*  | 1   | 3s.21d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        379.722   |     a |            |      |  35051.264  -   61379.2   | 3s.3p   | 1P*  | 1   | 3s.20d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        380.187   |     a |            |      |  35051.264  -   61346.7   | 3s.3p   | 1P*  | 1   | 3s.19d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        380.741   |     a |            |      |  35051.264  -   61308.4   | 3s.3p   | 1P*  | 1   | 3s.18d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        381.402   |     a |            |      |  35051.264  -   61262.9   | 3s.3p   | 1P*  | 1   | 3s.17d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        382.200   |     a |            |      |  35051.264  -   61208.2   | 3s.3p   | 1P*  | 1   | 3s.16d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        382.93549 |    36 | 8.99e+07   | B+   |  21850.405  -   47957.058 | 3s.3p   | 3P*  | 0   | 3s.3d  | 3D   | 1   |   1 - 3   |    |         c45 |  L7428  |
        383.168   |     a |            |      |  35051.264  -   61142.1   | 3s.3p   | 1P*  | 1   | 3s.15d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        383.22996 |       | 6.74e+07   | B+   |  21870.464  -   47957.058 | 3s.3p   | 3P*  | 1   | 3s.3d  | 3D   | 1   |   3 - 3   |    |         c45 |  L7428  |
        383.23037 |    38 | 1.21e+08   | B+   |  21870.464  -   47957.027 | 3s.3p   | 3P*  | 1   | 3s.3d  | 3D   | 2   |   3 - 5   |    |         c45 |  L7428  |
        383.82918 |    40 | 1.61e+08   | B+   |  21911.178  -   47957.045 | 3s.3p   | 3P*  | 2   | 3s.3d  | 3D   | 3   |   5 - 7   |    |         c45 |  L7428  |
        383.82943 |       | 4.03e+07   | B+   |  21911.178  -   47957.027 | 3s.3p   | 3P*  | 2   | 3s.3d  | 3D   | 2   |   5 - 5   |    |         c45 |  L7428  |
        384.370   |     a |            |      |  35051.264  -   61060.5   | 3s.3p   | 1P*  | 1   | 3s.14d | 1D   | 2   |   3 - 5   |    |             |  L4057  |
        384.8914  |     1 | 1.83e+01   | B+   |  21870.464  -   47844.414 | 3s.3p   | 3P*  | 1   | 3s.4p  | 3P*  | 1   |   3 - 3   | E2 |         c43 |  L6095  |
        385.3960  |     2 | 2.55e+01   | B+   |  21911.178  -   47851.162 | 3s.3p   | 3P*  | 2   | 3s.4p  | 3P*  | 2   |   5 - 5   | E2 |         c43 |  L6095  |
        385.4965  |     1 | 5.48e+01   | B+   |  21911.178  -   47844.414 | 3s.3p   | 3P*  | 2   | 3s.4p  | 3P*  | 1   |   5 - 3   | E2 |         c43 |  L6095  |
        385.8860  |     2 |            |      |  35051.264  -   60958.31  | 3s.3p   | 1P*  | 1   | 3s.13d | 1D   | 2   |   3 - 5   |    |             |  L6095  |
        387.8306  |     3 |            |      |  35051.264  -   60828.41  | 3s.3p   | 1P*  | 1   | 3s.12d | 1D   | 2   |   3 - 5   |    |             |  L6095  |
