------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |  Rel. |    Aki     | Acc. |      Ei           Ek      |     Lower level     |      Upper level      |  gi   gk  |Type|           TP  |   Line  |
   Wavelength   |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |---------------------|-----------------------|           |    |          Ref. |   Ref.  |
    Air (nm)    |       |            |      |                           | Conf.  | Term | J   | Conf.   | Term | J    |           |    |               |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf |L Term| L J | U Conf  |U Term| U J  |   gi - gk |Type|  TP           |   Line  |
       310.4722 |     9 | 7.97e+07   | A    |   71490.19  -   103689.92 | 2p6.3d | 2D   | 5/2 | 2p6.5f  | 2F*  | 7/2  |   6 - 8   |    |           c31 |  L7414  |
       310.4809 |     8 | 7.44e+07   | A    |   71491.06  -   103689.86 | 2p6.3d | 2D   | 3/2 | 2p6.5f  | 2F*  | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       316.5878 |     3 | 2.89e+06   | B    |   80619.50  -   112197.17 | 2p6.4p | 2P*  | 1/2 | 2p6.7d  | 2D   | 3/2  |   2 - 4   |    |           c31 |  L6095  |
       316.8951 |     6 | 3.43e+06   | B    |   80650.02  -   112197.05 | 2p6.4p | 2P*  | 3/2 | 2p6.7d  | 2D   | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       317.2706 |     6 | 3.41e+06   | B    |   80619.50  -   112129.20 | 2p6.4p | 2P*  | 1/2 | 2p6.8s  | 2S   | 1/2  |   2 - 2   |    |           c31 |  L7414  |
       317.5783 |     7 | 6.81e+06   | B    |   80650.02  -   112129.20 | 2p6.4p | 2P*  | 3/2 | 2p6.8s  | 2S   | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       353.4972 |     7 | 5.80e+06   | B+   |   80619.50  -   108900.20 | 2p6.4p | 2P*  | 1/2 | 2p6.6d  | 2D   | 3/2  |   2 - 4   |    |           c31 |  L7414  |
       353.8813 |     8 | 6.90e+06   | A    |   80650.02  -   108900.02 | 2p6.4p | 2P*  | 3/2 | 2p6.6d  | 2D   | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       354.9516 |     7 | 5.64e+06   | B    |   80619.50  -   108784.33 | 2p6.4p | 2P*  | 1/2 | 2p6.7s  | 2S   | 1/2  |   2 - 2   |    |           c31 |  L7414  |
       355.3366 |     8 | 1.12e+07   | B    |   80650.02  -   108784.33 | 2p6.4p | 2P*  | 3/2 | 2p6.7s  | 2S   | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       361.3781 |     4 | 1.79e+05   | C+   |   69804.95  -    97468.92 | 2p6.4s | 2S   | 1/2 | 2p6.5p  | 2P*  | 3/2  |   2 - 4   |    |     c31,T6870 |  L7414  |
       361.5583 |     3 | 1.56e+05   | C+   |   69804.95  -    97455.12 | 2p6.4s | 2S   | 1/2 | 2p6.5p  | 2P*  | 1/2  |   2 - 2   |    |     c31,T6870 |  L7414  |
       384.8209 |     8 | 2.96e+06   | A    |   71490.19  -    97468.92 | 2p6.3d | 2D   | 5/2 | 2p6.5p  | 2P*  | 3/2  |   6 - 4   |    |     c31,T6870 |  L7414  |
       384.8335 |   5bl | 3.29e+05   | B+   |   71491.06  -    97468.92 | 2p6.3d | 2D   | 3/2 | 2p6.5p  | 2P*  | 3/2  |   4 - 4   |    |     c31,T6870 |  L6095  |
       385.0385 |     7 | 3.24e+06   | A    |   71491.06  -    97455.12 | 2p6.3d | 2D   | 3/2 | 2p6.5p  | 2P*  | 1/2  |   4 - 2   |    |     c31,T6870 |  L7414  |
       419.3482 |    2* |            |      |   93799.63  -   117639.51 | 2p6.4f | 2F*  | 5/2 | 2p6.11g | 2G   | 7/2  |   6 - 8   |    |               |  L6095  |
       419.3482 |    2* |            |      |   93799.75  -   117639.51 | 2p6.4f | 2F*  | 7/2 | 2p6.11g | 2G   | 9/2  |   8 - 10  |    |               |  L6095  |
       424.2445 |     3 |            |      |   93310.59  -   116875.25 | 2p6.4d | 2D   | 5/2 | 2p6.10f | 2F*  | 7/2  |   6 - 8   |    |               |  L7414  |
       424.2543 |     2 |            |      |   93311.11  -   116875.25 | 2p6.4d | 2D   | 3/2 | 2p6.10f | 2F*  | 5/2  |   4 - 6   |    |               |  L7414  |
       433.1945 |    4* |            |      |   93799.63  -   116877.54 | 2p6.4f | 2F*  | 5/2 | 2p6.10g | 2G   | 7/2  |   6 - 8   |    |               |  L6095  |
       433.1945 |    4* |            |      |   93799.75  -   116877.54 | 2p6.4f | 2F*  | 7/2 | 2p6.10g | 2G   | 9/2  |   8 - 10  |    |               |  L6095  |
       438.4637 |     9 | 1.45e+07   | A    |   80619.50  -   103420.00 | 2p6.4p | 2P*  | 1/2 | 2p6.5d  | 2D   | 3/2  |   2 - 4   |    |     c31,T6870 |  L7414  |
       439.0564 |    10 | 1.73e+07   | A    |   80650.02  -   103419.70 | 2p6.4p | 2P*  | 3/2 | 2p6.5d  | 2D   | 5/2  |   4 - 6   |    |     c31,T6870 |  L7414  |
       442.7994 |     8 | 1.05e+07   | A    |   80619.50  -   103196.75 | 2p6.4p | 2P*  | 1/2 | 2p6.6s  | 2S   | 1/2  |   2 - 2   |    |           c31 |  L7414  |
       443.3990 |     9 | 2.10e+07   | A    |   80650.02  -   103196.75 | 2p6.4p | 2P*  | 3/2 | 2p6.6s  | 2S   | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       443.6486 |     5 | 6.38e+06   | B+   |   93310.59  -   115844.60 | 2p6.4d | 2D   | 5/2 | 2p6.9f  | 2F*  | 7/2  |   6 - 8   |    |           c31 |  L7414  |
