-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |  Rel. |    Aki     | Acc. |         Ei           Ek         |            Lower level             |         Upper level          |  gi   gk  |Type|               TP  |    Line  |
     Wavelength     |  Int. |   (s^-1)   |      |       (cm-1)       (cm-1)       |------------------------------------|------------------------------|           |    |              Ref. |    Ref.  |
      Air (nm)      |       |            |      |                                 | Conf.                 | Term | J   | Conf.           | Term | J   |           |    |                   |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek            | L Conf                |L Term| L J | U Conf          |U Term| U J |   gi - gk |Type|             TP    |   Line   |
         330.2369   |    19 | 2.75e+06   | A    |       0.00000  -    30272.58    | 2p6.3s                | 2S   | 1/2 | 2p6.4p          | 2P*  | 3/2 |   2 - 4   |    |          c30,T76n |   L6096  |
         330.2979   |    18 | 2.73e+06   | B+   |       0.00000  -    30266.99    | 2p6.3s                | 2S   | 1/2 | 2p6.4p          | 2P*  | 1/2 |   2 - 2   |    |          c30,T76n |   L6096  |
         341.62     |       | 1.5e+07    | D    |  263745.3      -   293010.3     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 3/2 | 2p5.3s.(3P*).3d | 4D*  | 3/2 |   4 - 4   |    |             T5209 |   L6269  |
         342.6862   |     6 |            |      |       0.00000  -    29172.887   | 2p6.3s                | 2S   | 1/2 | 2p6.3d          | 2D   | 3/2 |   2 - 4   | E2 |                   |   L6096  |
         342.73     |     9 | 2.8e+07    | D    |  263745.3      -   292913.9     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 3/2 | 2p5.3s.(3P*).3d | 4F*  | 5/2 |   4 - 6   |    |             T5209 |   L6269  |
         348.90     |   130 | 4.2e+07    | D    |  263745.3      -   292399.4     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 3/2 | 2p5.3s.(3P*).3d | 4D*  | 5/2 |   4 - 6   |    |             T5209 |   L6269  |
         350.25     |   160 | 8.8e+07    | D    |  263745.3      -   292289.2     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 3/2 | 2p5.3s.(3P*).3d | 4P*  | 3/2 |   4 - 4   |    |             T5209 |   L6269  |
         351.10     |   130 | 1.15e+08   | D    |  263745.3      -   292219.6     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 3/2 | 2p5.3s.(3P*).3d | 4P*  | 1/2 |   4 - 2   |    |             T5209 |   L6269  |
         383.36     |       |            |      |  266933.9      -   293010.3     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 5/2 | 2p5.3s.(3P*).3d | 4D*  | 3/2 |   6 - 4   |    |                   |  L10065  |
         384.80     |     5 | 2.8e+07    | D    |  266933.9      -   292913.9     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 5/2 | 2p5.3s.(3P*).3d | 4F*  | 5/2 |   6 - 6   |    |             T5209 |   L6269  |
         385.23     |       |            |      |  267576.0      -   293528       | 2p5.(2P*).3s.3p.(3P*) | 4D   | 1/2 | 2p5.3s.(3P*).3d | 4F*  | 3/2 |   2 - 4   |    |                   |  L10065  |
         386.55     |   130 | 5.8e+07    | D    |  266586.7      -   292449.7     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 7/2 | 2p5.3s.(3P*).3d | 4F*  | 7/2 |   8 - 8   |    |             T5209 |   L6269  |
         387.29     |    19 | 1.2e+07    | D    |  266586.7      -   292399.4     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 7/2 | 2p5.3s.(3P*).3d | 4D*  | 5/2 |   8 - 6   |    |             T5209 |   L6269  |
         388.18     |   420 | 1.63e+08   | D    |  266586.7      -   292340.6     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 7/2 | 2p5.3s.(3P*).3d | 4F*  | 9/2 |   8 - 10  |    |             T5209 |   L6269  |
         388.57     |    36 | 6.2e+07    | D    |  267282.3      -   293010.3     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 3/2 | 2p5.3s.(3P*).3d | 4D*  | 3/2 |   4 - 4   |    |             T5209 |   L6269  |
         390.04     |    15 | 7.7e+07    | D    |  267282.3      -   292913.9     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 3/2 | 2p5.3s.(3P*).3d | 4F*  | 5/2 |   4 - 6   |    |             T5209 |   L6269  |
         391.18     |       |            |      |  267576.0      -   293133.1     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 1/2 | 2p5.3s.(3P*).3d | 4D*  | 1/2 |   2 - 2   |    |                   |  L10065  |
         391.79     |   160 | 6.6e+07    | D    |  266933.9      -   292449.7     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 5/2 | 2p5.3s.(3P*).3d | 4F*  | 7/2 |   6 - 8   |    |             T5209 |   L6269  |
         392.56     |    85 | 4.5e+07    | D    |  266933.9      -   292399.4     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 5/2 | 2p5.3s.(3P*).3d | 4D*  | 5/2 |   6 - 6   |    |             T5209 |   L6269  |
         393.06     |    15 | 2.5e+07    | D    |  267576.0      -   293010.3     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 1/2 | 2p5.3s.(3P*).3d | 4D*  | 3/2 |   2 - 4   |    |             T5209 |   L6269  |
         394.26     |    32 | 2.1e+07    | D    |  266933.9      -   292289.2     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 5/2 | 2p5.3s.(3P*).3d | 4P*  | 3/2 |   6 - 4   |    |             T5209 |   L6269  |
         398.03     |    14 | 5.e+06     | D    |  267282.3      -   292399.4     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 3/2 | 2p5.3s.(3P*).3d | 4D*  | 5/2 |   4 - 6   |    |             T5209 |   L6269  |
