-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |   Rel. |    Aki     | Acc. |      Ei           Ek       |              Lower level              |              Upper level               |  gi   gk  |Type|      TP  |  Line  |
   Wavelength   |   Int. |   (s^-1)   |      |    (cm-1)       (cm-1)     |---------------------------------------|----------------------------------------|           |    |     Ref. |  Ref.  |
    Air (nm)    |        |            |      |                            | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |          |        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel   |    Aki     | Acc  |              Ei - Ek       | L Conf                |L Term   | L J | U Conf                |U Term    | U J |   gi - gk |Type|  TP      |   Line |
       300.086  |    130 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       300.292  |    130 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       300.4149 |    550 | 1.7e+07    | E    |  299885.37  -   333162.94  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]*  | 1   |   3 - 3   |    | T6036c80 |  L914  |
       300.7442 |    750 | 1.68e+07   | B+   |  264924.32  -   298165.44  | 2s2.2p5.3s            | 3P*     | 2   | 2s2.2p5.3p            | 3D       | 1   |   5 - 3   |    |    T7663 |  L914  |
       300.9137 |    750 | 3.0e+07    | D    |  299885.37  -   333107.74  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]*  | 1   |   3 - 3   |    | T7663c80 |  L914  |
       300.9482 |    450 |            |      |  330549.35  -   363767.98  | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]* | 0   | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   | 1   |   1 - 3   |    |          |  L914  |
       301.151  |     60 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       301.310  |    160 |            |      |  330636.75  -   363815.38  | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   | 2   |   3 - 5   |    |          |  L914  |
       301.5395 |    600 | 1.51e+07   | C+   |  297635.61  -   330789.05  | 2s2.2p5.3p            | 3D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 2   |   5 - 5   |    |    T6036 |  L914  |
       301.7341 |    450 |            |      |  330636.75  -   363769.03  | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   | 2   |   3 - 5   |    |          |  L914  |
       301.8324 |    160 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       301.998  |     80 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       302.137  |    200 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       302.2348 |    160 | 6.91e+05   | D+   |  299885.37  -   332962.57  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]*  | 2   |   3 - 5   |    |    T7663 |  L914  |
       302.400  |    130 | 2.3e+06    | E    |  300103.92  -   333162.94  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]*  | 1   |   5 - 3   |    | T7663c80 |  L914  |
       302.531  |     60 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       302.7062 |    300 |            |      |  330789.05  -   363814.78  | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 2   | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   | 3   |   5 - 7   |    |          |  L914  |
       302.9070 |    400 | 9.9e+07    | E    |  300103.92  -   333107.74  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]*  | 1   |   5 - 3   |    | T7663c80 |  L914  |
       302.9320 |     40 | 6.32e+06   | C    |  297635.61  -   330636.75  | 2s2.2p5.3p            | 3D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]*  | 1   |   5 - 3   |    |    T6036 |  L914  |
       303.126  |    200 |            |      |  330789.05  -   363769.03  | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 2   | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   | 2   |   5 - 5   |    |          |  L914  |
       303.7076 |    400 | 2.55e+08   | B+   |  299885.37  -   332802.21  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[5/2]*  | 2   |   3 - 5   |    |    T6036 |  L914  |
       303.872  |    350 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       304.013  |    160 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       304.2461 |    350 | 7.49e+05   | D    |  300103.92  -   332962.57  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]*  | 2   |   5 - 5   |    |    T6036 |  L914  |
       304.310  |    200 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       304.5600 |    400 | 6.92e+07   | C+   |  299885.37  -   332710.11  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]*  | 0   |   3 - 1   |    |    T7663 |  L914  |
       304.895  |    200 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       305.0210 |    350 | 1.3e+08    | E    |  300387.82  -   333162.94  | 2s2.2p5.3p            | 3P      | 0   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]*  | 1   |   1 - 3   |    | T7663c80 |  L914  |
