-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level          |            Upper level             |  gi   gk  |Type|         TP  |   Line  |
    Wavelength    |  Int. |   (s^-1)   |      |     (cm-1)       (cm-1)     |-------------------------------|------------------------------------|           |    |        Ref. |   Ref.  |
     Air (nm)     |       |            |      |                             | Conf.            | Term | J   | Conf.                 | Term | J   |           |    |             |         |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek        | L Conf           |L Term| L J | U Conf                |U Term| U J |   gi - gk |Type|  TP         |   Line  |
        382.341   |   120 | 6.63e+05   | C+   |  101135.407  -   127282.626 | 2s2.2p3.(2D*).3s | 3D*  | 3   | 2s2.2p3.(2P*).3p      | 3D   | 3   |   7 - 7   |    |     T5713LS |  L3760  |
        394.729   |   185 | 4.91e+05   | B    |   73768.200  -    99094.837 | 2s2.2p3.(4S*).3s | 5S*  | 2   | 2s2.2p3.(4S*).4p      | 5P   | 3   |   5 - 7   |    |    T5803,LS |  L3760  |
        394.748   |   160 | 4.88e+05   | B    |   73768.200  -    99093.641 | 2s2.2p3.(4S*).3s | 5S*  | 2   | 2s2.2p3.(4S*).4p      | 5P   | 2   |   5 - 5   |    |    T5803,LS |  L3760  |
        394.759   |   140 | 4.87e+05   | B    |   73768.200  -    99092.968 | 2s2.2p3.(4S*).3s | 5S*  | 2   | 2s2.2p3.(4S*).4p      | 5P   | 1   |   5 - 3   |    |    T5803,LS |  L3760  |
        395.461   |   100 | 2.32e+05   | C+   |   88631.146  -   113910.957 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(2P*).3s      | 3P*  | 2   |   5 - 5   |    |     T5713LS |  L3760  |
        423.327   |    80 | 4.04e+05   | C+   |   99681.049  -   123296.777 | 2s2.2p3.(4S*).4p | 3P   | 2   | 2s2.2p3.(2D*<3/2>).3d | 3P*  | 2   |   5 - 5   |    |     T5713LS |  L3760  |
        436.825   |   100 | 7.58e+05   | B    |   76794.978  -    99680.968 | 2s2.2p3.(4S*).3s | 3S*  | 1   | 2s2.2p3.(4S*).4p      | 3P   | 1   |   3 - 3   |    |   T5803n,LS |  L3760  |
        532.910   |  135* | 2.71e+06   | C+   |   86625.757  -   105385.449 | 2s2.2p3.(4S*).3p | 5P   | 1   | 2s2.2p3.(4S*).5d      | 5D*  | 0   |   3 - 1   |    |     T5713LS |  L3760  |
        532.910   |  135* | 2.03e+06   | C+   |   86625.757  -   105385.436 | 2s2.2p3.(4S*).3p | 5P   | 1   | 2s2.2p3.(4S*).5d      | 5D*  | 1   |   3 - 3   |    |     T5713LS |  L3760  |
        532.968   |   160 | 1.58e+06   | C+   |   86627.778  -   105385.409 | 2s2.2p3.(4S*).3p | 5P   | 2   | 2s2.2p3.(4S*).5d      | 5D*  | 2   |   5 - 5   |    |     T5713LS |  L3760  |
        533.074   |   190 | 2.71e+06   | C+   |   86631.454  -   105385.354 | 2s2.2p3.(4S*).3p | 5P   | 3   | 2s2.2p3.(4S*).5d      | 5D*  | 4   |   7 - 9   |    |     T5713LS |  L3760  |
        543.518   |    90 | 7.74e+05   | C+   |   86625.757  -   105019.307 | 2s2.2p3.(4S*).3p | 5P   | 1   | 2s2.2p3.(4S*).6s      | 5S*  | 2   |   3 - 5   |    |     T5713LS |  L3760  |
        543.578   |   110 | 1.29e+06   | C+   |   86627.778  -   105019.307 | 2s2.2p3.(4S*).3p | 5P   | 2   | 2s2.2p3.(4S*).6s      | 5S*  | 2   |   5 - 5   |    |     T5713LS |  L3760  |
        543.686   |   135 | 1.80e+06   | C+   |   86631.454  -   105019.307 | 2s2.2p3.(4S*).3p | 5P   | 3   | 2s2.2p3.(4S*).6s      | 5S*  | 2   |   7 - 5   |    |     T5713LS |  L3760  |
        557.734   |   120 | 1.26e+00   | B+   |   15867.862  -    33792.583 | 2s2.2p4          | 1D   | 2   | 2s2.2p4               | 1S   | 0   |   5 - 1   | E2 | T4539,T5081 |  L3760  |
        595.839   |  160* | 3.78e+05   | C+   |   88630.587  -   105409.008 | 2s2.2p3.(4S*).3p | 3P   | 1   | 2s2.2p3.(4S*).5d      | 3D*  | 1   |   3 - 3   |    |     T5713LS |  L3760  |
        595.839   |  160* | 6.80e+05   | C+   |   88630.587  -   105409.008 | 2s2.2p3.(4S*).3p | 3P   | 1   | 2s2.2p3.(4S*).5d      | 3D*  | 2   |   3 - 5   |    |     T5713LS |  L3760  |
        595.858   |  190* | 2.52e+04   | C    |   88631.146  -   105409.008 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(4S*).5d      | 3D*  | 1   |   5 - 3   |    |     T5713LS |  L3760  |
        595.858   |  190* | 9.06e+05   | C+   |   88631.146  -   105409.008 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(4S*).5d      | 3D*  | 3   |   5 - 7   |    |     T5713LS |  L3760  |
        595.858   |  190* | 2.27e+05   | C+   |   88631.146  -   105409.008 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(4S*).5d      | 3D*  | 2   |   5 - 5   |    |     T5713LS |  L3760  |
        599.528   |    80 |            |      |                             |                  |      |     |                       |      |     |           |    |             |  L3760  |
        604.623   |   160 | 1.05e+06   | C+   |   88630.587  -   105165.232 | 2s2.2p3.(4S*).3p | 3P   | 1   | 2s2.2p3.(4S*).6s      | 3S*  | 1   |   3 - 3   |    |     T5713LS |  L3760  |
