------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |        Ei           Ek        |           Lower level            |            Upper level            |  gi   gk  |Type|         TP  |          Line  |
    Wavelength    |  Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |----------------------------------|-----------------------------------|           |    |        Ref. |          Ref.  |
     Air (nm)     |       |            |      |                               | Conf.             | Term  | J    | Conf.              | Term  | J    |           |    |             |                |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek          | L Conf            |L Term | L J  | U Conf             |U Term | U J  |   gi - gk |Type|       TP    |       Line     |
        300.1696  |     5 |            |      |  232462.724   -   265767.55   | 2s2.2p2.(3P).3d   | 4P    | 5/2  | 2s2.2p2.(3P).5f D  | 2[2]* | 5/2  |   6 - 6   |    |             |        L10621  |
        300.2977  |     8 |            |      |  232602.492   -   265893.06   | 2s2.2p2.(3P).3d   | 4P    | 1/2  | 2s2.2p2.(3P).5f D  | 2[1]* | 1/2  |   2 - 2   |    |             |        L10621  |
        300.5958  |    10 |            |      |  232462.724   -   265720.38   | 2s2.2p2.(3P).3d   | 4P    | 5/2  | 2s2.2p2.(3P).5f G  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        300.5958  |    10 |            |      |  232747.562   -   266004.90   | 2s2.2p2.(3P).3d   | 4D    | 5/2  | 2s2.2p2.(3P).5f F  | 2[4]* | 7/2  |   6 - 8   |    |             |        L10621  |
        300.6565  |     5 |            |      |  232753.816   -   266004.90   | 2s2.2p2.(3P).3d   | 4D    | 7/2  | 2s2.2p2.(3P).5f F  | 2[4]* | 7/2  |   8 - 8   |    |             |        L10621  |
        300.7035  | 14bl* |            |      |  232753.816   -   265999.75   | 2s2.2p2.(3P).3d   | 4D    | 7/2  | 2s2.2p2.(3P).5f F  | 2[4]* | 9/2  |   8 - 10  |    |             |        L10621  |
        300.7035  | 14bl* |            |      |  232711.642   -   265957.37   | 2s2.2p2.(3P).3d   | 4D    | 1/2  | 2s2.2p2.(3P).5f F  | 2[2]* | 3/2  |   2 - 4   |    |             |        L10621  |
        300.7681  |    7* |            |      |  232753.816   -   265992.37   | 2s2.2p2.(3P).3d   | 4D    | 7/2  | 2s2.2p2.(3P).5f F  | 2[3]* | 5/2  |   8 - 6   |    |             |        L10621  |
        300.7681  |    7* |            |      |  232753.816   -   265992.31   | 2s2.2p2.(3P).3d   | 4D    | 7/2  | 2s2.2p2.(3P).5f F  | 2[3]* | 7/2  |   8 - 8   |    |             |        L10621  |
        300.8318  |     9 |            |      |  232535.949   -   265767.55   | 2s2.2p2.(3P).3d   | 4P    | 3/2  | 2s2.2p2.(3P).5f D  | 2[2]* | 5/2  |   4 - 6   |    |             |        L10621  |
        300.9570  |     7 |            |      |  232745.981   -   265963.54   | 2s2.2p2.(3P).3d   | 4D    | 3/2  | 2s2.2p2.(3P).5f F  | 2[2]* | 5/2  |   4 - 6   |    |             |        L10621  |
        301.1534  |    9* |            |      |  232796.298   -   265992.37   | 2s2.2p2.(3P).3d   | 2F    | 5/2  | 2s2.2p2.(3P).5f F  | 2[3]* | 5/2  |   6 - 6   |    |             |        L10621  |
        301.1534  |    9* |            |      |  232796.298   -   265992.31   | 2s2.2p2.(3P).3d   | 2F    | 5/2  | 2s2.2p2.(3P).5f F  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        301.2825  |    8* |            |      |  232711.642   -   265893.62   | 2s2.2p2.(3P).3d   | 4D    | 1/2  | 2s2.2p2.(3P).5f D  | 2[1]* | 3/2  |   2 - 4   |    |             |        L10621  |
        301.2825  |    8* |            |      |  232711.642   -   265893.06   | 2s2.2p2.(3P).3d   | 4D    | 1/2  | 2s2.2p2.(3P).5f D  | 2[1]* | 1/2  |   2 - 2   |    |             |        L10621  |
        301.3357  |    11 |            |      |  232462.724   -   265638.59   | 2s2.2p2.(3P).3d   | 4P    | 5/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        301.4158  |     7 |            |      |  232796.298   -   265963.54   | 2s2.2p2.(3P).3d   | 2F    | 5/2  | 2s2.2p2.(3P).5f F  | 2[2]* | 5/2  |   6 - 6   |    |             |        L10621  |
        301.4469  |     8 |            |      |  232602.492   -   265766.28   | 2s2.2p2.(3P).3d   | 4P    | 1/2  | 2s2.2p2.(3P).5f D  | 2[2]* | 3/2  |   2 - 4   |    |             |        L10621  |
        301.5974  |     7 |            |      |  232745.981   -   265893.06   | 2s2.2p2.(3P).3d   | 4D    | 3/2  | 2s2.2p2.(3P).5f D  | 2[1]* | 1/2  |   4 - 2   |    |             |        L10621  |
        302.0173  |     5 |            |      |  232535.949   -   265637.10   | 2s2.2p2.(3P).3d   | 4P    | 3/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 5/2  |   4 - 6   |    |             |        L10621  |
        302.5218  |     7 |            |      |  232959.210   -   266004.90   | 2s2.2p2.(3P).3d   | 2F    | 7/2  | 2s2.2p2.(3P).5f F  | 2[4]* | 7/2  |   8 - 8   |    |             |        L10621  |
        302.5705  |     9 |            |      |  232959.210   -   265999.75   | 2s2.2p2.(3P).3d   | 2F    | 7/2  | 2s2.2p2.(3P).5f F  | 2[4]* | 9/2  |   8 - 10  |    |             |        L10621  |
        302.6383  |   1w* |            |      |  232959.210   -   265992.37   | 2s2.2p2.(3P).3d   | 2F    | 7/2  | 2s2.2p2.(3P).5f F  | 2[3]* | 5/2  |   8 - 6   |    |             |        L10621  |
