------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |  gi   gk  |Type|             TP  |   Line  |
   Wavelength   |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |------------------------------|------------------------------|           |    |            Ref. |   Ref.  |
    Air (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |           |    |                 |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf          |L Term| L J | U Conf          |U Term| U J |   gi - gk |Type|           TP    |   Line  |
       301.763  |    80 | 5.38e+07   | C    |  294223.07  -   327352.17 | 2s2.2p.(2P*).3p | 3D   | 3   | 2s2.2p.(2P*).3d | 3D*  | 3   |   7 - 7   |    |  T5376,T5791,LS |  L3467  |
       302.345  |    80 | 4.79e+07   | C+   |  267377.11  -   300442.55 | 2s2.2p.(2P*).3s | 3P*  | 1   | 2s2.2p.(2P*).3p | 3P   | 2   |   3 - 5   |    |             u24 |  L3467  |
       304.302  |    80 |            |      |                           |                 |      |     |                 |      |     |           |    |                 |  L3467  |
       304.713  |   200 | 1.49e+08   | C+   |  267634.00  -   300442.55 | 2s2.2p.(2P*).3s | 3P*  | 2   | 2s2.2p.(2P*).3p | 3P   | 2   |   5 - 5   |    |             u24 |  L3467  |
       305.930  |   110 | 8.72e+07   | C+   |  267634.00  -   300311.96 | 2s2.2p.(2P*).3s | 3P*  | 2   | 2s2.2p.(2P*).3p | 3P   | 1   |   5 - 3   |    |             u24 |  L3467  |
       312.171  |    80 | 1.38e+08   | C    |  297558.66  -   329583.89 | 2s2.2p.(2P*).3p | 3S   | 1   | 2s2.2p.(2P*).3d | 3P*  | 1   |   3 - 3   |    |  T5376,T5791,LS |  L3467  |
       313.286  |   110 | 1.37e+08   | C    |  297558.66  -   329469.80 | 2s2.2p.(2P*).3p | 3S   | 1   | 2s2.2p.(2P*).3d | 3P*  | 2   |   3 - 5   |    |  T5376,T5791,LS |  L3467  |
       323.857  |    80 |            |      |                           |                 |      |     |                 |      |     |           |    |                 |  L3492  |
       326.098  |   200 | 1.68e+08   | C+   |  294002.86  -   324660.80 | 2s2.2p.(2P*).3p | 3D   | 2   | 2s2.2p.(2P*).3d | 3F*  | 3   |   5 - 7   |    |  T5376,T5791,LS |  L3467  |
       326.546  |   300 | 1.88e+08   | C+   |  294223.07  -   324839.03 | 2s2.2p.(2P*).3p | 3D   | 3   | 2s2.2p.(2P*).3d | 3F*  | 4   |   7 - 9   |    |  T5376,T5791,LS |  L3467  |
       326.731  |    80 | 1.58e+08   | C+   |  293866.49  -   324464.88 | 2s2.2p.(2P*).3p | 3D   | 1   | 2s2.2p.(2P*).3d | 3F*  | 2   |   3 - 5   |    |  T5376,T5791,LS |  L3467  |
       331.230  |    80 | 4.60e+07   | C+   |  267377.11  -   297558.66 | 2s2.2p.(2P*).3s | 3P*  | 1   | 2s2.2p.(2P*).3p | 3S   | 1   |   3 - 3   |    |             u24 |  L3467  |
       334.074  |   110 | 6.57e+07   | C+   |  267634.00  -   297558.66 | 2s2.2p.(2P*).3s | 3P*  | 2   | 2s2.2p.(2P*).3p | 3S   | 1   |   5 - 3   |    |             u24 |  L3467  |
       344.410  |    80 | 4.21e+07   | C+   |  300442.55  -   329469.80 | 2s2.2p.(2P*).3p | 3P   | 2   | 2s2.2p.(2P*).3d | 3P*  | 2   |   5 - 5   |    |  T5376,T5791,LS |  L3467  |
       345.512  |    80 | 1.72e+08   | C+   |  365857.89  -   394793.28 | 2s.2p2.(4P).3p  | 5D*  | 4   | 2s.2p2.(4P).3d  | 5F   | 5   |   9 - 11  |    |         T5376LS |  L3467  |
       369.870  |    80 | 7.62e+07   | C+   |  338701.98  -   365730.68 | 2s.2p2.(4P).3s  | 5P   | 2   | 2s.2p2.(4P).3p  | 5D*  | 3   |   5 - 7   |    |         T5376LS |  L3467  |
       370.275  |    80 |            |      |                           |                 |      |     |                 |      |     |           |    |                 |  L3467  |
       370.337  |    80 | 1.14e+08   | C+   |  338863.03  -   365857.89 | 2s.2p2.(4P).3s  | 5P   | 3   | 2s.2p2.(4P).3p  | 5D*  | 4   |   7 - 9   |    |         T5376LS |  L3467  |
       370.724  |   110 | 7.34e+07   | C+   |  300311.96  -   327278.30 | 2s2.2p.(2P*).3p | 3P   | 1   | 2s2.2p.(2P*).3d | 3D*  | 2   |   3 - 5   |    |  T5376,T5791,LS |  L3467  |
       371.508  |   110 | 9.73e+07   | C+   |  300442.55  -   327352.17 | 2s2.2p.(2P*).3p | 3P   | 2   | 2s2.2p.(2P*).3d | 3D*  | 3   |   5 - 7   |    |  T5376,T5791,LS |  L3467  |
       374.400  |   110 |            |      |                           |                 |      |     |                 |      |     |           |    |                 |  L3467  |
       375.467  |   150 | 7.53e+07   | C+   |  267377.11  -   294002.86 | 2s2.2p.(2P*).3s | 3P*  | 1   | 2s2.2p.(2P*).3p | 3D   | 2   |   3 - 5   |    |             u24 |  L3467  |
       375.721  |    80 | 5.56e+07   | C+   |  267258.71  -   293866.49 | 2s2.2p.(2P*).3s | 3P*  | 0   | 2s2.2p.(2P*).3p | 3D   | 1   |   1 - 3   |    |             u24 |  L3467  |
       375.987  |   250 | 9.79e+07   | C+   |  267634.00  -   294223.07 | 2s2.2p.(2P*).3s | 3P*  | 2   | 2s2.2p.(2P*).3p | 3D   | 3   |   5 - 7   |    |             u24 |  L3467  |
